name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Ce(Ac)+2,NA,CeCH3COO+2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-254000,-286000,-25.4,58.5,5.1,2.9487,-0.5825,5.9809,-2.7548,53.6757,8.8731,1.4382,2
Ce(Ac)2+,NA,Ce(CH3COO)2+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-345000,-405000,-4.3,141.9,55.1,9.5157,15.4527,-0.3219,-3.4177,95.0022,25.8754,0.6143,1
Ce(Ac)3,NA,Ce(CH3COO)3,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-435000,-525000,10.3,211.8,110.9,16.9252,33.5426,-7.4282,-4.1656,130.0191,40.1094,-0.03,0
Gd(Ac)+2,NA,GdCH3COO+2,aq,SK93,NA,1992-09-10,HKF,cal,-250490,-283100,-25.7,64.5,4.4,2.8605,-0.7945,6.0567,-2.7461,57.3241,10.1106,1.4477,2
Gd(Ac)2+,NA,Gd(CH3COO)2+,aq,SK93,NA,1992-09-10,HKF,cal,-341350,-401740,-4.7,153.8,54.4,9.4165,15.2134,-0.2342,-3.4078,102.023,28.2899,0.6223,1
Gd(Ac)3,NA,Gd(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-431490,-521580,9.8,231.8,110,16.8116,33.2662,-7.3215,-4.1541,141.7603,44.1903,-0.03,0
Tb(Ac)+2,NA,TbCH3COO+2,aq,SK93,NA,1992-09-10,HKF,cal,-251390,-286400,-32.5,54.2,4.7,2.9247,-0.6382,5.9963,-2.7525,52.1779,8.0023,1.5475,2
Tb(Ac)2+,NA,Tb(CH3COO)2+,aq,SK93,NA,1992-09-10,HKF,cal,-342250,-405780,-14,133.6,54.6,9.4965,15.4094,-0.3132,-3.4159,91.4417,24.1763,0.7584,1
Tb(Ac)3,NA,Tb(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-432390,-526470,-2.3,197.7,110.3,16.8495,33.3603,-7.3624,-4.158,121.7569,37.2376,-0.03,0
Dy(Ac)+2,NA,DyCH3COO+2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-250500,-286100,-34.2,74,4.1,2.8591,-0.797,6.0561,-2.746,64.072,12.0356,1.579,2
Dy(Ac)2+,NA,Dy(CH3COO)2+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-341400,-406000,-16.3,172.2,54,9.4257,15.233,-0.2363,-3.4086,114.4678,32.0457,0.8002,1
Dy(Ac)3,NA,Dy(CH3COO)3,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-431500,-526600,-5.3,263,109.6,16.7548,33.1279,-7.2677,-4.1484,160.0243,50.5384,-0.03,0
Ho(Ac)+2,NA,HoCH3COO+2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-253300,-288500,-32.9,70.4,3.1,2.7148,-1.1553,6.2089,-2.7311,61.7679,11.3023,1.5579,2
Ho(Ac)2+,NA,Ho(CH3COO)2+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-344100,-408000,-14.6,165.2,52.9,9.2621,14.8317,-0.0744,-3.392,110.0599,30.6149,0.7686,1
Ho(Ac)3,NA,Ho(CH3COO)3,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-434300,-528800,-3.1,251.1,108.4,16.5845,32.713,-7.107,-4.1313,153.0665,48.1201,-0.03,0
Er(Ac)+2,NA,ErCH3COO+2,aq,SK93,NA,1992-09-11,HKF,cal,-251770,-288520,-38.6,68.1,1.5,2.5305,-1.6022,6.3787,-2.7127,61.2455,10.8439,1.6444,2
Er(Ac)2+,NA,Er(CH3COO)2+,aq,SK93,NA,1992-09-11,HKF,cal,-342620,-408540,-22.3,160.8,51.2,9.0662,14.3528,0.1146,-3.3722,108.6293,29.7206,0.8926,1
Er(Ac)3,NA,Er(CH3COO)3,aq,SK93,NA,1992-09-11,HKF,cal,-432750,-529992,-13.2,243.7,106.4,16.3195,32.0657,-6.852,-4.1045,148.7181,46.6086,-0.03,0
Tm(Ac)+2,NA,TmCH3COO+2,aq,SK93,NA,1992-09-11,HKF,cal,-251770,-288500,-38.3,68.1,1.5,2.5268,-1.6112,6.3814,-2.7123,61.1431,10.8439,1.6332,2
Tm(Ac)2+,NA,Tm(CH3COO)2+,aq,SK93,NA,1992-09-11,HKF,cal,-342620,-408490,-21.9,160.8,51.2,9.0621,14.3448,0.1131,-3.3719,108.5166,29.7206,0.8803,1
Tm(Ac)3,NA,Tm(CH3COO)3,aq,SK93,NA,1992-09-11,HKF,cal,-432750,-529900,-12.7,243.7,106.4,16.3195,32.0657,-6.852,-4.1045,148.7181,46.6086,-0.03,0
Lu(Ac)+2,NA,LuCH3COO+2,aq,SK93,NA,1992-09-10,HKF,cal,-251290,-288534,-45.4,73.3,-0.7,2.2608,-2.2622,6.6412,-2.6854,65.2386,11.8981,1.7486,2
Lu(Ac)2+,NA,Lu(CH3COO)2+,aq,SK93,NA,1992-09-10,HKF,cal,-342150,-409310,-31.6,170.9,48.7,8.7721,13.6382,0.3879,-3.3427,115.7906,31.7774,1.0276,1
Lu(Ac)3,NA,Lu(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-432290,-531620,-25.3,260.8,103.7,15.9409,31.1419,-6.4897,-4.0663,158.7197,50.085,-0.03,0
Al(Ac)3,NA,Al(CH3COO)3,aq,SK93,NA,1993-04-05,HKF,cal,-391100,-498280,-57,NA,NA,16.0545,31.4184,-6.597,-4.0777,156.5453,49.3293,-0.03,0
Eu(Ac)+2,NA,EuCH3COO+2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-229400,-264300,-31.1,63,3.4,2.75,-1.0666,6.169,-2.7348,57.1309,9.7898,1.5269,2
Eu(Ac)2+,NA,Eu(CH3COO)2+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-320500,-383700,-12,150.7,53.3,9.3029,14.9307,-0.1123,-3.3961,101.2917,27.6639,0.7384,1
Eu(Ac)3,NA,Eu(CH3COO)3,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-410700,-504400,0.2,226.6,108.8,16.6413,32.8512,-7.1605,-4.137,138.7162,43.1323,-0.03,0
Y(Ac)+2,NA,YCH3COO+2,aq,SK93,NA,1992-09-10,HKF,cal,-255670,-291130,-41,65,4,2.8774,-0.7576,6.0516,-2.7476,59.7114,10.2023,1.6782,2
Y(Ac)2+,NA,Y(CH3COO)2+,aq,SK93,NA,1992-09-10,HKF,cal,-346520,-411420,-25.6,154.7,53.9,9.4572,15.3127,-0.2736,-3.4119,105.4982,28.4687,0.9437,1
Y(Ac)3,NA,Y(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-436650,-533170,-17.5,233.3,109.5,16.7359,33.0838,-7.255,-4.1466,142.63,44.4926,-0.03,0
Na(For),NA,NaCHO2,aq,SK95,NA,1993-08-16,HKF,cal,-146521,-159279,35.333,22.8,33.9,6.3891,7.8196,2.6757,-3.1022,19.2249,1.6002,-0.03,0
Na(For)2-,NA,Na(CHO2)2-,aq,SK95,NA,1993-08-16,HKF,cal,-230001,-263725,45.473,45,72.8,12.0449,21.6308,-2.7566,-3.6731,41.0498,6.1257,0.9257,-1
K(For),NA,KCHO2,aq,SK95,NA,1993-08-26,HKF,cal,-151413,-161151,48.668,6.8,45.2,7.9397,11.607,1.1839,-3.2587,9.8889,-1.6447,-0.03,0
K(For)2-,NA,K(CHO2)2-,aq,SK95,NA,1993-08-26,HKF,cal,-234866,-264561,63.193,13.9,85.5,13.6868,25.6408,-4.3345,-3.8389,20.4973,-0.2055,0.6721,-1
Ca(For)+,NA,CaCHO2+,aq,SK95,NA,1993-08-16,HKF,cal,-217933,-231998,13.005,30.7,15,3.9346,1.8264,5.0305,-2.8544,27.4342,3.2242,0.3539,1
Ca(For)2,NA,Ca(CHO2)2,aq,SK95,NA,1993-08-16,HKF,cal,-302982,-335050,34.084,62.7,51.8,8.8425,13.8094,0.322,-3.3498,42.6594,9.7454,-0.03,0
Mg(For)+,NA,MgCHO2+,aq,SK95,NA,1993-08-26,HKF,cal,-194318,-215678,-13.582,35.7,11.1,3.5392,0.8593,5.414,-2.8144,34.0484,4.2279,0.7584,1
Mg(For)2,NA,Mg(CHO2)2,aq,SK95,SLOP16.6,1998-06-02,HKF,cal,-279367,-321275,-0.709,72.4,47.5,8.2496,12.3613,0.8923,-3.2899,48.2938,11.7038,-0.03,0
Sr(For)+,NA,SrCHO2+,aq,SK95,NA,1993-08-26,HKF,cal,-220518,-233167,21.145,25.1,15.7,3.9918,1.9636,4.9821,-2.8601,22.9691,2.0692,0.2299,1
Sr(For)2,NA,Sr(CHO2)2,aq,SK95,NA,1993-08-26,HKF,cal,-305513,-335415,44.736,51.7,52.6,8.9529,14.0817,0.2091,-3.361,36.1759,7.4919,-0.03,0
Ba(For)+,NA,BaCHO2+,aq,SK95,NA,1993-08-26,HKF,cal,-219775,-228918,34.547,20,21.1,4.6569,3.5906,4.3358,-2.9273,18.1411,1.038,0.0279,1
